Country,shock_id,baseline_year,profile_code,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,recovery_years,recovery_status,target_flag
CAN,2007,2007,3-3-4-5-5,20.0,3,3,4,5,5,64.98653033849067,63.66967674388169,50.39007991533172,100.0,100.0,baseline_5_variables,5,1,True,0.3333333333333333,0.0,0.6666666666666666,0.2877720870678617,0.0054417413572343,0.706786171574904,0.3060089020771513,0.1606621226874391,1.0,recovered,True
DEU,2007,2007,2-1-4-2-3,12.0,2,1,4,2,3,40.61569016881827,31.14775552938096,68.23146618176881,30.98497562887163,28.58329615310983,baseline_5_variables,5,4,False,0.0416666666666666,0.2916666666666667,0.6666666666666666,0.0150448143405889,0.1533290653008963,0.8316261203585147,0.0029673590504451,0.0015579357351509,2.0,recovered,True
FRA,2007,2007,2-2-4-3-3,14.0,2,2,4,3,3,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,baseline_5_variables,5,3,False,0.1666666666666666,0.25,0.5833333333333334,0.0457746478873239,0.0918693982074263,0.8623559539052497,0.0242952522255192,0.0127555988315481,2.0,recovered,True
ITA,2007,2007,1-3-2-1-2,9.0,1,3,2,1,2,1.0923535253227352,64.67739824630283,23.421604726453666,0.0,13.003623416105148,baseline_5_variables,5,3,False,0.0416666666666666,0.4166666666666667,0.5416666666666666,0.0035211267605633,0.3838028169014084,0.6126760563380281,0.0007418397626112,0.0003894839337877,15.0,recovered,True
USA,2007,2007,2-4-5-5-4,20.0,2,4,5,5,4,48.44663866194638,83.6932338699123,75.01278612171896,77.13898717309793,47.194218437799535,baseline_5_variables,5,1,True,0.3333333333333333,0.0,0.6666666666666666,0.2557618437900128,0.0048015364916773,0.7394366197183099,0.2828264094955489,0.1484907497565725,1.0,recovered,True
CAN,2019,2019,3-3-3-5-5,19.0,3,3,3,5,5,74.53368272594955,86.11153147699758,35.47368736362677,100.0,54.48646227604982,baseline_5_variables,5,1,True,0.2424242424242424,0.0,0.7575757575757576,0.2157490396927016,0.0083226632522407,0.7759282970550576,0.4053511705685618,0.1008991008991009,1.0,recovered,True
DEU,2019,2019,3-5-5-2-2,17.0,3,5,5,2,2,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,baseline_5_variables,5,1,True,0.1212121212121212,0.0,0.8787878787878788,0.0957106274007682,0.0150448143405889,0.8892445582586428,0.1264214046822742,0.0314685314685314,2.0,recovered,True
FRA,2019,2019,1-1-4-3-3,12.0,1,1,4,3,3,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,baseline_5_variables,5,3,False,0.0606060606060606,0.2121212121212121,0.7272727272727273,0.0112035851472471,0.1437259923175416,0.8450704225352113,0.0120401337792642,0.0029970029970029,2.0,recovered,True
ITA,2019,2019,1-1-3-1-1,7.0,1,1,3,1,1,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,baseline_5_variables,5,4,False,0.0,0.5757575757575758,0.4242424242424242,0.0006402048655569,0.5998719590268886,0.3994878361075544,0.0,0.0,2.0,recovered,True
USA,2019,2019,1-5-5-5-5,21.0,1,5,5,5,5,47.19874493174339,93.74243341404356,69.79533248807502,75.29026170293265,32.46930200745625,baseline_5_variables,5,1,True,0.1818181818181818,0.0,0.8181818181818182,0.1997439180537772,0.0012804097311139,0.7989756722151088,0.3809364548494983,0.0948218448218448,1.0,recovered,True
